food,cuisine,category,display_amount,grams_per_display,protein_g_per_display,carbohydrates_g_per_display,fats_g_per_display,calories_kcal_per_display,protein_g_per_100g,carbohydrates_g_per_100g,fats_g_per_100g,calories_kcal_per_100g,source_primary,source_validation,validation_status,notes
Puliyogare,South Indian,meal,1 cup,200,8.0,84.0,16.0,520.0,4.0,42.0,8.0,260.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Tamarind rice.
Tamarind Rice,South Indian,meal,1 plate,250,4.0,48.0,11.0,307.0,1.6,19.2,4.4,122.8,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Puliyodarai-style tamarind rice.
Paella,Spanish,meal,1 bowl,250,16.25,50.0,15.0,400.0,6.5,20.0,6.0,160.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Generic mixed paella.
Tortilla Espanola,Spanish,meal,1 slice,120,7.2,16.8,12.0,204.0,6.0,14.0,10.0,170.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Potato-egg omelette.
Kathi Roll,Street Food,meal,1 roll,200,15.0,35.0,15.0,335.0,7.5,17.5,7.5,167.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Paratha roll with filling.
Tofu Scramble,Vegan,meal,1 serving,150,10.0,4.0,8.0,120.0,6.67,2.67,5.33,80.0,Standard recipe estimate,USDA FoodData Central egg scramble comparable,recipe-estimate,Seasoned tofu scramble.
Baked Beans,Western,meal,1 cup,240,11.28,50.4,1.2,264.0,4.7,21.0,0.5,110.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Sweet baked beans.
Chicken Burrito,Western,meal,1 burrito,280,24.0,40.0,14.0,420.0,8.57,14.29,5.0,150.0,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Chicken burrito.
Fish and Chips,Western,meal,1 plate,350,42.0,87.5,52.5,875.0,12.0,25.0,15.0,250.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Average pub-style serving.
Paneer Burrito,Western,meal,1 burrito,270,18.0,42.0,16.0,400.0,6.67,15.56,5.93,148.15,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Paneer burrito.
Sandwich,Western,meal,1 sandwich,160,14.4,35.2,16.0,352.0,9.0,22.0,10.0,220.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Generic sandwich.
Veg Burrito,Western,meal,1 burrito,250,12.0,45.0,12.0,350.0,4.8,18.0,4.8,140.0,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Vegetable burrito.
Gujarati Kadhi,Gujarati,side dish,1 cup,200,4.0,10.0,7.0,119.0,2.0,5.0,3.5,59.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Thin sweet-sour yogurt curry.
Kimchi,Korean,side dish,1 cup,150,2.0,6.0,1.0,35.0,1.33,4.0,0.67,23.33,USDA FoodData Central,USDA FoodData Central fermented vegetable reference,cross-validated,Fermented cabbage.
Batata Bhaji,Marathi,side dish,1 bowl,150,3.0,18.0,7.0,147.0,2.0,12.0,4.67,98.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spiced potato preparation.
Bamboo Shoot Curry (Northeast style),North Eastern,side dish,1 bowl,150,2.0,8.0,5.0,85.0,1.33,5.33,3.33,56.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Bamboo shoot vegetable curry.
Avial,South Indian,side dish,1 bowl,150,3.0,12.0,8.0,132.0,2.0,8.0,5.33,88.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Mixed vegetables in coconut-yogurt base.
Coconut Chutney,South Indian,side dish,2 tbsp,30,0.9,2.7,3.6,51.0,3.0,9.0,12.0,170.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,"Coconut chutney, averaged."
Kootu,South Indian,side dish,1 bowl,180,5.0,14.0,5.0,121.0,2.78,7.78,2.78,67.22,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Vegetable and lentil stew.
Poriyal,South Indian,side dish,1 bowl,100,2.0,6.0,4.0,68.0,2.0,6.0,4.0,68.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Vegetable stir-fry, lightly seasoned."
Rasam,South Indian,side dish,1 cup,240,2.4,9.6,2.4,72.0,1.0,4.0,1.0,30.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Tomato/tamarind rasam.
Rasam (spiced),South Indian,side dish,1 cup,240,1.2,5.5,1.0,35.8,0.5,2.29,0.42,14.92,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Tomato/tamarind rasam, thin soup."
Sambar,South Indian,side dish,1 cup,240,6.48,19.2,6.0,139.2,2.7,8.0,2.5,58.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Vegetable sambar.
Sambar (thick),South Indian,side dish,1 cup,240,5.0,14.0,4.5,116.5,2.08,5.83,1.88,48.54,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Vegetable sambar, lentil-based."
Thoran,South Indian,side dish,1 bowl,120,2.0,8.0,6.0,94.0,1.67,6.67,5.0,78.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Dry vegetable stir-fry with coconut.
Egusi Soup,African,soup,1 bowl,250,12.0,10.0,18.0,250.0,4.8,4.0,7.2,100.0,Standard recipe estimate,FAO/INFOODS + comparable soup reference,recipe-estimate,Melon seed soup.
Hot and Sour Soup,Chinese,soup,1 bowl,250,4.0,10.0,4.0,90.0,1.6,4.0,1.6,36.0,Standard recipe estimate,USDA FoodData Central soup reference,recipe-estimate,Spiced soup.
Sweet Corn Soup,Chinese,soup,1 bowl,250,4.0,18.0,3.0,120.0,1.6,7.2,1.2,48.0,Standard recipe estimate,USDA FoodData Central soup reference,recipe-estimate,Chinese sweet corn soup.
Wonton Soup,Chinese,soup,1 bowl,250,7.0,12.0,4.0,110.0,2.8,4.8,1.6,44.0,Standard recipe estimate,USDA FoodData Central soup reference,recipe-estimate,Soup with wontons.
Miso Soup,Japanese,soup,1 bowl,240,3.0,5.0,2.0,45.0,1.25,2.08,0.83,18.75,USDA FoodData Central comparable soup reference,USDA FoodData Central soup reference,cross-validated,Light miso broth.
Mutton Soup,North Indian,soup,1 bowl,250,16.0,8.0,10.0,180.0,6.4,3.2,4.0,72.0,Standard recipe estimate,USDA FoodData Central soup reference,recipe-estimate,Mutton broth soup.
Gazpacho,Spanish,soup,1 bowl,250,3.75,17.5,10.0,150.0,1.5,7.0,4.0,60.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Chilled tomato soup.
Lentil Soup,Vegan,soup,1 bowl,250,10.0,25.0,4.0,180.0,4.0,10.0,1.6,72.0,Standard recipe estimate,IFCT 2017 + USDA FoodData Central soup reference,recipe-estimate,Thick lentil soup.
Caprese Salad,Italian,salad,1 bowl,150,9.0,4.5,12.0,180.0,6.0,3.0,8.0,120.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,"Tomato, mozzarella, basil."
Caesar Salad,Salad,salad,1 bowl,180,7.0,10.0,12.0,180.0,3.89,5.56,6.67,100.0,Standard recipe estimate,USDA FoodData Central salad reference,recipe-estimate,Romaine with dressing and croutons.
Chicken Salad,Salad,salad,1 bowl,180,20.0,8.0,8.0,180.0,11.11,4.44,4.44,100.0,Standard recipe estimate,USDA FoodData Central salad reference,recipe-estimate,Chicken with mixed vegetables.
Fruit Salad,Salad,salad,1 bowl,150,1.0,20.0,0.5,90.0,0.67,13.33,0.33,60.0,Standard recipe estimate,USDA FoodData Central fruit reference,recipe-estimate,Mixed seasonal fruits.
Garden Salad,Salad,salad,1 bowl,120,2.0,8.0,2.0,70.0,1.67,6.67,1.67,58.33,USDA FoodData Central,USDA FoodData Central salad reference,cross-validated,"Mixed lettuce, tomato, cucumber."
Greek Salad,Salad,salad,1 bowl,180,5.0,10.0,12.0,170.0,2.78,5.56,6.67,94.44,Standard recipe estimate,USDA FoodData Central salad reference,recipe-estimate,"With feta, olives, and vegetables."
Chickpea Salad,Vegan,salad,1 bowl,150,7.0,20.0,5.0,160.0,4.67,13.33,3.33,106.67,Standard recipe estimate,IFCT 2017 + USDA FoodData Central salad reference,recipe-estimate,Chickpeas with vegetables.
Coleslaw,Western,salad,1 bowl,150,3.0,21.0,18.0,270.0,2.0,14.0,12.0,180.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Cabbage slaw with dressing.
Mishti Doi,Bengali,dessert,1 bowl,100,3.0,18.0,4.0,120.0,3.0,18.0,4.0,120.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Sweetened set yogurt.
Rasgulla,Bengali,dessert,1 piece,40,2.0,8.0,1.0,49.0,5.0,20.0,2.5,122.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Syrup-soaked cheese ball.
Sandesh,Bengali,dessert,1 piece,30,2.0,8.0,2.0,58.0,6.67,26.67,6.67,193.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Fresh milk-based sweet.
Vanilla Ice Cream,Dessert,dessert,1 cup,100,3.5,23.0,11.0,207.0,3.5,23.0,11.0,207.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Average vanilla ice cream.
Basundi,Gujarati,dessert,1 cup,150,5.0,30.0,12.0,248.0,3.33,20.0,8.0,165.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Sweetened reduced milk dessert.
Mohanthal,Gujarati,dessert,1 piece,30,3.0,16.0,8.0,148.0,10.0,53.33,26.67,493.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Gram flour sweet fudge.
Shrikhand,Gujarati,dessert,1 bowl,100,4.0,20.0,9.0,180.0,4.0,20.0,9.0,180.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Sweetened strained yogurt.
Tiramisu,Italian,dessert,1 slice,120,6.0,30.0,24.0,360.0,5.0,25.0,20.0,300.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Average tiramisu slice.
Ukadiche Modak,Marathi,dessert,1 piece,40,1.6,13.2,2.4,72.0,4.0,33.0,6.0,180.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Rice-flour sweet dumpling.
Gulab Jamun,North Indian,dessert,1 piece,35,1.05,7.0,2.1,52.5,3.0,20.0,6.0,150.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Average gulab jamun.
Rabdi,North Indian,dessert,1 cup,200,18.0,56.0,36.0,600.0,9.0,28.0,18.0,300.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Sweet milk rabdi.
Kesari Bath,South Indian,dessert,1 cup,180,7.2,81.0,21.6,576.0,4.0,45.0,12.0,320.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Sweet semolina kesari.
Churros,Spanish,dessert,3 pieces,90,4.5,45.0,19.8,378.0,5.0,50.0,22.0,420.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Fried dough pastry.
Black Coffee,Beverage,beverage,1 cup,240,0.0,0.0,0.0,4.8,0.0,0.0,0.0,2.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,estimated,Unsweetened brewed coffee.
Coconut Water,Beverage,beverage,1 glass,240,1.68,8.88,0.48,45.6,0.7,3.7,0.2,19.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Natural coconut water.
Coke,Beverage,beverage,1 can,330,0.0,35.0,0.0,140.0,0.0,10.61,0.0,42.42,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Regular cola soft drink.
Coke (330ml),Beverage,beverage,1 can,330,0.0,128.7,0.0,458.7,0.0,39.0,0.0,139.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,brand-average,"Coca-Cola, average can."
Fanta,Beverage,beverage,1 can,330,0.0,37.0,0.0,150.0,0.0,11.21,0.0,45.45,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Orange soda.
Fruit Juice (Average),Beverage,beverage,1 glass,250,0.75,27.5,0.25,115.0,0.3,11.0,0.1,46.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,"Average fruit juice, unsweetened/standard."
Lemon Juice,Beverage,beverage,1 glass,250,1.0,17.25,0.5,55.0,0.4,6.9,0.2,22.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,"Diluted lemon juice, unsweetened."
Lemon Soda,Beverage,beverage,1 glass,250,0.0,20.0,0.0,80.0,0.0,8.0,0.0,32.0,Standard recipe estimate,USDA FoodData Central beverage reference,recipe-estimate,Sweet lemon soda.
Maaza,Beverage,beverage,1 bottle,250,0.0,33.0,0.0,140.0,0.0,13.2,0.0,56.0,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Mango drink.
Maaza (330ml),Beverage,beverage,1 can,330,0.0,141.9,0.0,561.0,0.0,43.0,0.0,170.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,brand-average,Mango drink average.
Mirinda,Beverage,beverage,1 can,330,0.0,38.0,0.0,160.0,0.0,11.52,0.0,48.48,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Orange soft drink.
Mirinda (330ml),Beverage,beverage,1 can,330,0.0,128.7,0.0,495.0,0.0,39.0,0.0,150.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,brand-average,Orange drink average.
Monster Energy,Beverage,beverage,1 can,500,0.0,54.0,0.0,210.0,0.0,10.8,0.0,42.0,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,"Energy drink, average."
Pepsi,Beverage,beverage,1 can,330,0.0,36.0,0.0,150.0,0.0,10.91,0.0,45.45,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Regular cola soft drink.
Pepsi (330ml),Beverage,beverage,1 can,330,0.0,135.3,0.0,495.0,0.0,41.0,0.0,150.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,brand-average,"Pepsi, average can."
Red Bull,Beverage,beverage,1 can,250,0.0,27.0,0.0,110.0,0.0,10.8,0.0,44.0,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,"Energy drink, average."
Soda,Beverage,beverage,1 can,355,0.0,37.63,0.0,149.1,0.0,10.6,0.0,42.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Sugar-sweetened soft drink.
Sprite,Beverage,beverage,1 can,330,0.0,35.0,0.0,140.0,0.0,10.61,0.0,42.42,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Lemon-lime soda.
Tea (Masala Chai),Beverage,beverage,1 cup,150,3.0,12.0,3.75,90.0,2.0,8.0,2.5,60.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,estimated,"Masala chai, average."
Tea (Milk Tea),Beverage,beverage,1 cup,150,3.0,10.5,3.0,82.5,2.0,7.0,2.0,55.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,estimated,Indian milk tea with moderate sugar.
Tea (Plain Black),Beverage,beverage,1 cup,240,0.0,0.0,0.0,4.8,0.0,0.0,0.0,2.0,USDA FoodData Central + beverage label averages,Cross-checked against standard beverage composition; sugar and milk vary,estimated,Unsweetened black tea.
Thums Up,Beverage,beverage,1 can,330,0.0,35.0,0.0,150.0,0.0,10.61,0.0,45.45,Brand-average estimate,USDA FoodData Central beverage reference,brand-average-estimate,Cola soda.
Black Tea,Indian,beverage,1 cup,200,0.0,0.5,0.0,2.0,0.0,0.25,0.0,1.0,USDA FoodData Central tea reference,USDA FoodData Central beverage reference,cross-validated,Unsweetened brewed tea.
Ginger Tea,Indian,beverage,1 cup,200,1.2,5.5,1.3,35.0,0.6,2.75,0.65,17.5,Standard recipe estimate,USDA FoodData Central tea + milk reference,recipe-estimate,"Tea with ginger, milk, and sugar."
Green Tea,Indian,beverage,1 cup,200,0.0,0.5,0.0,2.0,0.0,0.25,0.0,1.0,USDA FoodData Central tea reference,USDA FoodData Central beverage reference,cross-validated,Unsweetened green tea.
Masala Tea,Indian,beverage,1 cup,200,1.5,6.5,1.5,40.0,0.75,3.25,0.75,20.0,USDA FoodData Central tea + milk reference,USDA FoodData Central + IFCT 2017 beverage averages,cross-validated,"Tea with milk, sugar, and spices."
Milk Tea (Chai),Indian,beverage,1 cup,200,2.0,8.0,2.0,55.0,1.0,4.0,1.0,27.5,USDA FoodData Central tea + milk reference,USDA FoodData Central + IFCT 2017 beverage averages,cross-validated,Standard sweet milk tea.
Sugarcane Juice,Indian,beverage,1 glass,250,0.0,30.0,0.0,120.0,0.0,12.0,0.0,48.0,IFCT 2017 + USDA FoodData Central beverage context,IFCT 2017 + USDA FoodData Central,cross-validated,"Fresh sugarcane juice, average."
Cappuccino,Italian,beverage,1 cup,180,4.0,10.0,4.0,90.0,2.22,5.56,2.22,50.0,USDA FoodData Central coffee + milk reference,USDA FoodData Central + FAO/INFOODS beverage context,cross-validated,Espresso with steamed milk and foam.
Espresso,Italian,beverage,1 shot,30,0.5,0.5,0.0,5.0,1.67,1.67,0.0,16.67,USDA FoodData Central coffee reference,USDA FoodData Central beverage reference,cross-validated,Single espresso shot.
Latte,Italian,beverage,1 cup,240,8.0,12.0,7.0,140.0,3.33,5.0,2.92,58.33,USDA FoodData Central coffee + milk reference,USDA FoodData Central beverage reference,cross-validated,Milk-heavy espresso drink.
Kokum Saar,Marathi,beverage,1 cup,240,1.0,7.0,0.5,36.5,0.42,2.92,0.21,15.21,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Tart kokum soup.
Solkadhi,Marathi,beverage,1 cup,240,1.0,6.0,4.0,64.0,0.42,2.5,1.67,26.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Kokum and coconut milk drink.
Lassi Salted,North Indian,beverage,1 glass,250,4.0,10.0,4.0,92.0,1.6,4.0,1.6,36.8,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Salted yogurt drink.
Lassi Sweet,North Indian,beverage,1 glass,250,7.5,37.5,7.5,225.0,3.0,15.0,3.0,90.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Sweet yogurt drink.
Masala Chai,North Indian,beverage,1 cup,150,1.0,10.0,2.0,62.0,0.67,6.67,1.33,41.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Tea with milk and sugar.
Filter Coffee,South Indian,beverage,1 cup,150,2.25,12.0,3.0,82.5,1.5,8.0,2.0,55.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Milk coffee with sugar.
Almond Milk (Unsweetened),Vegan,beverage,1 cup,240,0.96,3.6,6.0,72.0,0.4,1.5,2.5,30.0,USDA FoodData Central + plant beverage averages,Cross-checked against typical market formulations; brand varies,cross-validated,Unsweetened almond milk.
Coconut Milk (Beverage),Vegan,beverage,1 cup,240,2.4,14.4,12.0,216.0,1.0,6.0,5.0,90.0,USDA FoodData Central + plant beverage averages,Cross-checked against typical market formulations; brand varies,cross-validated,Carton coconut milk beverage.
Oat Milk,Vegan,beverage,1 cup,240,7.2,38.4,12.0,288.0,3.0,16.0,5.0,120.0,USDA FoodData Central + plant beverage averages,Cross-checked against typical market formulations; brand varies,cross-validated,"Oat milk, unsweetened/standard."
Soy Milk,Vegan,beverage,1 cup,240,7.0,4.0,4.0,80.0,2.92,1.67,1.67,33.33,USDA FoodData Central,USDA FoodData Central beverage reference,cross-validated,Unsweetened soy milk.
Cold Coffee,Western,beverage,1 glass,250,4.0,18.0,6.0,140.0,1.6,7.2,2.4,56.0,Standard recipe estimate,USDA FoodData Central beverage + milk reference,recipe-estimate,"Sweetened milk coffee, chilled."
Hot Chocolate,Western,beverage,1 cup,240,4.0,25.0,6.0,170.0,1.67,10.42,2.5,70.83,USDA FoodData Central cocoa beverage reference,USDA FoodData Central beverage reference,cross-validated,Sweet cocoa drink.
Iced Tea,Western,beverage,1 glass,250,0.0,20.0,0.0,90.0,0.0,8.0,0.0,36.0,Standard recipe estimate,USDA FoodData Central beverage reference,recipe-estimate,Sweetened iced tea.
Milk (Whole),Western,beverage,1 cup,244,7.81,11.71,8.05,148.8,3.2,4.8,3.3,61.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Whole cow milk.
Mocha,Western,beverage,1 cup,240,5.0,25.0,8.0,180.0,2.08,10.42,3.33,75.0,Standard recipe estimate,USDA FoodData Central coffee + milk + cocoa reference,recipe-estimate,Chocolate coffee drink.
Anjeer (Dried Fig),Fruit,fruit,2 pieces,40,1.32,25.56,0.36,99.6,3.3,63.9,0.9,249.0,USDA FoodData Central + nut composition tables,Cross-checked against standard nut composition tables,cross-validated,"Dried fig, common dry fruit."
Apple,Fruit,fruit,1 medium,182,0.55,25.12,0.36,94.6,0.3,13.8,0.2,52.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw apple.
Avocado,Fruit,fruit,1 medium,150,3.0,13.0,21.0,240.0,2.0,8.67,14.0,160.0,USDA FoodData Central,USDA FoodData Central fruit reference,cross-validated,Whole avocado pulp.
Banana,Fruit,fruit,1 medium,118,1.3,26.9,0.35,105.0,1.1,22.8,0.3,89.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw banana.
Blackberries,Fruit,fruit,1 cup,144,2.88,19.87,1.01,89.28,2.0,13.8,0.7,62.0,USDA FoodData Central + fruit composition tables,Cross-checked against standard fruit composition; ripeness varies,cross-validated,Raw blackberries.
Blueberries,Fruit,fruit,1 cup,148,1.63,21.76,0.74,124.32,1.1,14.7,0.5,84.0,USDA FoodData Central + fruit composition tables,Cross-checked against standard fruit composition; ripeness varies,cross-validated,Raw blueberries.
Dates,Fruit,fruit,2 pieces,24,0.6,18.0,0.1,66.48,2.5,75.0,0.4,277.0,USDA FoodData Central + nut composition tables,Cross-checked against standard nut composition tables,cross-validated,"Date fruit, average."
Grapes,Fruit,fruit,1 cup,151,1.06,27.33,0.3,104.2,0.7,18.1,0.2,69.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Fresh grapes.
Guava,Fruit,fruit,1 medium,100,2.6,14.3,1.0,68.0,2.6,14.3,1.0,68.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw guava.
Lychee,Fruit,fruit,1 cup,190,1.6,29.0,0.8,125.0,0.84,15.26,0.42,65.79,IFCT 2017 + USDA FoodData Central,IFCT 2017 + USDA FoodData Central fruit reference,cross-validated,Fresh lychee.
Mango,Fruit,fruit,1 medium,200,1.6,30.0,0.8,120.0,0.8,15.0,0.4,60.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw mango flesh average.
Mulberries,Fruit,fruit,1 cup,140,2.8,23.8,0.7,98.0,2.0,17.0,0.5,70.0,USDA FoodData Central + fruit composition tables,Cross-checked against standard fruit composition; ripeness varies,cross-validated,"Raw mulberries, average."
Muskmelon,Fruit,fruit,1 cup,160,1.3,14.0,0.3,55.0,0.81,8.75,0.19,34.38,USDA FoodData Central,USDA FoodData Central fruit reference,cross-validated,Ripe muskmelon.
Orange,Fruit,fruit,1 medium,131,1.18,15.46,0.13,61.6,0.9,11.8,0.1,47.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw orange.
Papaya,Fruit,fruit,1 cup,145,0.72,15.95,0.43,62.4,0.5,11.0,0.3,43.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw papaya.
